i,"Philosophy for groupable user push notifications: More hands-on than global users — groupable users care about individual location Stats within their region. Notifications should surface location-level signals for coaching and recognition, while still aggregating across the group to avoid overwhelming volume.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Tier,Notification Type,Trigger,Feedback Volume Threshold,Frequency Cap,Deep Link Destination,Title,Body,,Backend,Mobile,Overall,Effort,Risk,Customer value,Existing infra used,Net-new work,Notes,Audience,DBA Work,Ease (verified),Verified Notes (TE-13290),Jira Ticket,DBA Requirement (detailed),Product Decision (settled),DBA Task
,,Incident Rate Update,Check incident rate on a rolling 30 day basis,Min 30 feedback per month at the group level,Monthly on Day 10,Stats → Group View,📊 Incident Rate Update,"[Group Name]'s incident rate is [4.2%] this month, [+1.1%] vs. last month. Tap to see review.",,P — Partial,N — Net-new,P — Partial,L,Med,(TBD — Product),Raw incident data per location; mv_encouraging_statistics emits current+previous_month side by side.,Rolling-30d incident-rate at group; day-10 cron; Stats→Group View.,↑ from N — rolling math is in MVs.,grp,QUERY — new group rolling-30d view,L,#10 DBA: new group rolling-30d incident-rate view; day-10 cron; Stats->Group View,TE-14015,"We want to:
- report a group's incident rate on a rolling 30-day basis vs the prior month (min 30 feedback/mo)
So we need:
- a group-scoped rolling-30d incident-rate view with month-over-month delta
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)",Send at recipient device tz; skip send if no tz.,TE-14120
,,Group Ranking Update,"ONLY if group is marked ""is franchisee""

Check ranking change on a rolling 30 day basis",N/A,Monthly on Day 29,Stats → Group View,📈 Group Ranking Update,"[Group Name] ranked [#4] out of [18], up [2] spots from last month. Tap to see the breakdown.",,P — Partial,N — Net-new,P — Partial,L,Med,(TBD — Product),mv_survey_statistics_ranking_90days emits rolling_cer_rank; RecoveryInsightsRepository uses RANK() for recovery only.,Generalised group ranking with 30d delta; **Group.IsFranchise** (Cluster B); day-29 cron; mobile ranking surface (or tab in Group View).,↑ from N — rolling-rank primitive exists. Blocked by Group.IsFranchise.,grp,QUERY + SCHEMA (Group.IsFranchise),Complex (L),#11 DBA: group ranking view + Group.IsFranchise schema+backfill; day-29 cron,TE-14016,"We want to:
- report a franchise group's ranking change on a rolling 30-day basis
So we need:
- a group-grain ranking view (generalise rolling_cer_rank) with 30d delta
- the Group.IsFranchise column (schema + backfill)
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)",Franchise group = ALL (decided). Send at recipient device tz; skip send if no tz.,TE-14122 + TE-13994 (franchise)
,,Group-Level Reply Rate,"Look at changes in reply rate compared to the month prior (up, the same, down)",Min 30 feedback per month at the group level,Monthly on Day 15 afternoon,Inbox → Group view,"📬 Reply Rate Up in [Month]
📬 Reply Rate Dipped in [Month]
📬 Reply Rate Holding Steady","[Group Name] replied to [82%] of incidents this month, up [+6%] from [76%] last month. Keep it going!

[Group Name] replied to [71%] of incidents this month, down [-7%] from [78%] last month. Tap to see the backlog.

[Group Name] replied to [78%] of incidents in [Month], same as last month.",,N — Net-new,N — Net-new,N — Net-new,L,Med,(TBD — Product),CaseManagement activities/timeline track per-feedback response state.,Group reply-rate calc (no ReplyRate/ResponseRate calc exists); month-over-month delta; day-15 PM cron; mobile Inbox group view.,True net-new — calculation does not exist anywhere.,grp,None (in-app SQL),M,#12 No DBA — per-loc IncidentReplyRate + enterprise CalculateIncidentReplyPercent already exist; add group rollup + MoM delta; Inbox->Group deep-link MISSING; Q: denominator incidents vs all feedback,TE-13983,No data-team DBA — in-app SQL. Reply signal (incidents.date_time_messaged) + per-location IncidentReplyRate already exist; only the group rollup + MoM delta is new.,"Send at recipient device tz; skip send if no tz.  — OPEN (Product/data): reply-rate denominator — is an incident-only reply-rate an acceptable proxy, or do we need reply tracking across all feedback?",
,,Objective Progress,Count number of locations on track and off track,N/A,Morning of Day 15,Objectives Landing Page for Groupable Users,📈 [Month] Progress Update,"[xx] locations hit their goal, [xx] locations are on their way, and [xx] locations are off track.",,P — Partial,N — Net-new,P — Partial,L,Low,(TBD — Product),MidMonthScheduledEvent wired; ObjectiveProgress model carries PreviousMonth + RollingThirtyDays.,Locations-on-track-vs-off-track rollup query; push-side generator; Objectives Landing Page (Cluster A).,↑ from N — rolling primitive exists in ObjectiveProgress model.,grp,None (in-app aggregator),M,#13 No DBA — in-app on/off-track aggregator (ObjectiveProgress has rolling); Objectives Landing exists on mobile,TE-13984,No data-team DBA — in-app on/off-track rollup over the ObjectiveProgress model.,Send at recipient device tz; skip send if no tz.,
,,Action Item Completion Rate,Count percentage of restaurants within a group with >0 open action items,N/A,Monthly on Day 20 morning,Objectives Landing Page for Groupable Users,📋 Open Action Items,[x%] of locations in [Group Name] still have open action items this month. Tap to review.,,P — Partial,N — Net-new,P — Partial,L,Low,(TBD — Product),ObjectiveTask model + service exist.,Per-location open-task aggregator + % with >0 open; day-20 cron; Objectives Landing Page.,"↑ from N — model exists, aggregator query new.",grp,None (in-app aggregator),M,#14 No DBA — in-app per-location open-task aggregator; day-20 cron; Objectives Landing,TE-13985,No data-team DBA — in-app open-task aggregator over the ObjectiveTask model.,Send at recipient device tz; skip send if no tz.,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3
Celebrations",Group CER Personal Best,"Group-average CER hits all-time high (rolling 90-day), only if change ≥0.05",N/A,Once per new record,Inbox → Group View,🏆 New Group CER Record!,[Group Name] just hit its highest CER in 90 days. Keep building on this momentum!,,P — Partial,N — Net-new,P — Partial,M,Med,(TBD — Product),ProcessCerPersonalBestScheduledEvent + consumer wired; v_push_notifications_cer_personal_best view; once-per-record dedupe baked into consumer.,Group-scope 90d ATH calc; Stats→Group View destination. ⚠ Semantic clarification needed.,"⚠ DBA finding: prior_best_cer is 90d rolling-best, NOT 90d all-time-high. Confirm spec intent with Product.",grp,QUERY — group 90d rolling-best view,M/L,#15 DBA: group 90d rolling-best CER view; Q: prior_best_cer is 90d rolling-best NOT all-time-high (confirm with Sravya),TE-14017,"We want to:
- celebrate a group-average CER hitting a 90-day high (only if change >=0.05)
So we need:
- a group-scoped 90-day rolling-best CER view (existing view is per-location)
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)","Send at recipient device tz; skip send if no tz.  — Confirmed per spec: 90-day rolling best (Body: ""highest CER in 90 days"").  Note:  We do calculations on days that have surveys, not 90 calendar days",TE-14123
,,Group-wide Google Score Record,"Group's rolling 90-day Google score reaches an all-time high (beats its previous best), only if change ≥ 0.05",N/A,Once per new record,Stats → Reviews,🏆 New Google Score Record!,"[Group Name] just hit a [4.8] on Google, that's a record! Guests are noticing.",,P — Partial,E — Exists,P — Partial,M,Low,(TBD — Product),Chatmeter ingestion; review metrics stored; mobile Stats→Reviews tab exists.,Group-wide 90d ATH Google score; route map deep-link to Reviews tab (mirror inboxTab pattern).,,grp,QUERY — group Google-score view,M/L,#16 DBA: group Google-score view (no app group method exists at all); Reviews deep-link is an Inbox sub-tab (not Stats),TE-14018,"We want to:
- celebrate a group-wide Google score hitting an all-time high (change >=0.05)
So we need:
- a group-wide 90-day-best Google-score view from the Chatmeter-ingested review metrics (no app group method exists today)
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)","Send at recipient device tz; skip send if no tz.  — Confirmed per spec: all-time (""the highest ever"").",TE-14124
,,Top Mover This Week,Location in group achieves the largest CER gain over a rolling 7-day period,Min 6 feedback per week at the location level,Weekly Thursday morning,Stats → Location(s) selected in filter,"🌟 Top Mover This Week
🌟 Top Movers This Week","[Eastside Blvd] improved CER by [+0.41], the biggest gain in [Group Name] this week!

[x] locations achieved [+0.4] increase in CER, the biggest gains in [Group Name] this week!",,P — Partial,P — Partial,P — Partial,M,Low,(TBD — Product),enterprise_summary_core has current_week vs previous_week buckets; per-location CER inputs.,In-group leaderboard for 7d CER gain; min-6-feedback floor; Thursday AM cron; multi-location Stats filter (Cluster A).,↑ from N — rolling-week math exists in enterprise_summary_core.,grp,QUERY — group 7d leaderboard view,M/L,#17 DBA: in-group 7d CER-gain leaderboard view; Thu AM cron; multi-location Stats filter,TE-14019,"We want to:
- surface the location in a group with the largest CER gain over a rolling 7-day window (min 6 feedback/wk)
So we need:
- an in-group 7-day CER-gain leaderboard view
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)",Send at recipient device tz; skip send if no tz.,TE-14125
,,Group Recovery Revenue Milestone,"Cumulative recovered revenue across managed locations hits $1K / $5K / $10K / $25K, $10k increment afterwards",N/A,Once per threshold,Stats → Group View,💰 $5K Recovered Across Your Group!,That is real impact. Great job to the team!,,E — Exists,N — Net-new,P — Partial,M,Low,(TBD — Product),ScheduledRecoveryRevenueMilestoneCheckEvent + dedicated consumer wired end-to-end; canonical state-aware dedupe example; RecoveryInsightsRepository.GetRecoveredRevenue().,Confirm thresholds match spec (1K/5K/10K/25K then +10K); confirm group (not location) scope; Stats→Group View destination (currently lands on single-location screen).,Backend is the model for productizing dedupe (Cluster C).,grp,None (+ dedupe: once-per-threshold),M,#18 Backend fully wired (canonical dedupe example); confirm group (not location) scope + thresholds; Stats->Group View dest,TE-13986,No data-team DBA — existing RecoveryInsightsRepository group methods.,Send at recipient device tz; skip send if no tz.  — Confirmed per spec: once per threshold (cumulative); $1K/5K/10K/25K then +$10K; group scope.,
,,Zero Incident Week (Location Level),If a location has zero incidents across feedback & online reviews (4 in total per week minimum to qualify),Min 6 feedback per week at the location level,For GMs we do this sundays at 6 pm - For Groupables we will do the same. ,Stats → Locations selected in filter,💯 Zero Incident Week,"[Eastside Blvd] had zero incidents this week. Give them a shout!

[xx] locations had zero incidents this week. Great job to the team!",,E — Exists,P — Partial,P — Partial,S,Low,(TBD — Product),ProcessZeroIncidentWeekScheduledEvent + dispatcher + queue + consumer wired (Sunday 6PM local).,Migrate or duplicate cadence to Friday AM; confirm 'across feedback+reviews' source; multi-location Stats filter.,Smallest first-wave candidate after the prereqs ship.,all,None (view exists; cadence change),S,#19 Smallest first win: migrate cadence Sun->Fri AM + multi-loc filter; view exists; no DBA,TE-13975,No data-team DBA — existing v_push_notifications_zero_incident_week; cadence change only.,Send at recipient device tz; skip send if no tz.  We are keeping both single and groupable on sundays at six,TE-14169
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5
Summaries",Morning Briefing,"Daily morning, if open incidents >0",N/A,Daily at 7:30 AM local time,Stats → Group View,☀️ Morning Briefing,"If user has one group: [Group Name] has [x] open incidents across [x] locations. [x] locations have open action items.

If user has multiple groups: [x] open incidents across [x] of your groups. [x] locations have open action items.",,E — Exists,N — Net-new,P — Partial,M,Med,(TBD — Product),MorningScheduledEvent + ScheduledMorningActionItemsCheckEvent wired with local-time filter; mobile_device_tokens.timezone; NotificationTimezoneHelper.,'Open incidents > 0' predicate at dispatch; Stats→Group View destination.,Volume concern (SRE Cluster I): daily for groupable users with multiple groups can flood.,grp,None (predicate at dispatch),M,#20 No DBA — 'open incidents>0' predicate at dispatch; Stats->Group View; volume concern for multi-group users (needs cap),TE-13987,No data-team DBA — in-app 'open incidents > 0' predicate at dispatch.,Send at recipient device tz; skip send if no tz.  — Confirmed per spec: one consolidated briefing (single/multi-group body); no volume cap needed.,
,,End-of-Week Summary,"Count number of guests recovered in the last 7 days, and group level CER change in the last 7 days",N/A,"Weekly Friday afternoon

Suppress for last week of the month (to not conflict with Monthly Group CER Update)",Stats → Groupl View,📈 Weekly Group Snapshot,"[124] guests recovered, CER at [4.5] ([+0.3]) this week. Tap for the full breakdown.",,P — Partial,N — Net-new,P — Partial,M,Med,(TBD — Product),RecoveryInsightsRepository (recovered-revenue/count); enterprise_summary_core 7d delta primitives.,Rolling-7d cut; 'suppress last week of month' predicate; Friday PM cron; Stats→Group View.,↑ from N — 7d delta primitives exist.,grp,QUERY — group CER 7d view,M/L,#21 DBA: group CER 7d view; 'suppress last week of month' predicate; recovery side app-serviceable,TE-14020,"We want to:
- report group-level CER change + guests recovered over the last 7 days
So we need:
- a group CER rolling-7d view (the recovery-count side is already app-serviceable)
(timezone DECIDED: send at recipient device tz — build tz-agnostic aggregates; we gate at dispatch)",Send at recipient device tz; skip send if no tz.,TE-14121
,,Monthly Group CER Update,"End of month, group-wide average CER vs prior month",N/A,"Day 30, once in the afternoon",Stats → Group View,📈 [Month] Group CER Update,"[Group Name] hit [4.81] this month, that's [+0.06] from last month. Tap for details.",,P — Partial,N — Net-new,P — Partial,M,Low,(TBD — Product),MonthlyCer* dispatcher wired at location-level; mv_encouraging_statistics emits previous_month_avg_cer; MonthlyCerRepository.cs:13 just doesn't SELECT it.,One-line SQL change to read previous_month_avg_cer + emit {delta} in template (Cluster D); group rollup; day-30 PM cron; Stats→Group View.,Cluster D — smallest unlock per dollar in the whole matrix.,grp,None (Cluster D: 1-line SQL),S/M,#22 Cheapest unlock: 1-line SQL adds previous_month_avg_cer + {delta} (MV already joined); group rollup; NO DBA required,TE-13979,No data-team DBA — one-line SQL adds previous_month_avg_cer (mv_encouraging_statistics already exposes it).,Send at recipient device tz; skip send if no tz.,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6
Login Reminders ",3 days no login,72 hours after last login + unread 1-star feedback > 0,N/A,Once per absence period,Inbox (surveys tab) --> Group View (All applicable groups selected),👋 Your Locations Need You,[5] critical incidents across [3] locations are waiting. Your team needs their coach!,,P — Partial,N — Net-new,P — Partial,M,Low,(TBD — Product),Users.LastVisitDate; MobilePushWeMissYouDispatch + ScheduledLoginStreakCheckEvent; WeMissYou template.,'Has unread 1★ feedback' predicate via receipts query; once-per-absence dedupe via Cluster C; Stats→Group View.,↑ from N — receipts table can answer the predicate.,grp,None (+ dedupe: once-per-absence),M,#23 No DBA — 'has unread 1-star' predicate + once-per-absence dedupe; Stats->Group View,TE-13988,No data-team DBA — in-app predicate ('has unread 1-star') + receipts query.,Send at recipient device tz; skip send if no tz.,
